otu	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4	D1	D2	D3	D4	E1	E2	E3	E4	F1	F2	F3	F4	G1	G2	G3	G4	H1	H2	H3	H4
Otu2318	0	51	0	0	1	6	43	0	1	21	14	2	26	31	297	31	13	3	75	17	0	7	112	20	15	5	50	13	8	10	65	20
Otu6800	0	0	0	0	0	0	0	0	1	1	8	1	9	0	1	1	1	0	4	0	0	0	808	0	0	1	0	71	3	18	1	0
Otu67542	2	1	2	0	0	0	8	0	0	0	0	1	0	0	0	833	1	1	0	1	1	11	0	0	0	0	0	32	1	1	0	20
Otu11921	79	16	0	187	27	0	0	0	39	28	42	39	10	17	3	7	25	13	18	23	1	2	5	2	58	27	29	38	36	55	39	42
Otu2719	0	9	0	0	0	0	0	0	11	19	83	5	69	37	168	48	42	21	4	15	4	11	22	23	53	24	26	79	49	25	48	11
Otu8826	1	19	0	3	1	0	0	0	0	74	6	0	38	6	26	0	0	65	0	14	7	3	0	584	2	0	0	28	1	19	0	1
Otu99893	0	70	0	0	0	0	0	0	21	6	18	0	21	43	78	117	1	11	2	49	24	21	10	18	62	4	58	28	13	11	172	30
Otu37226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	109	0	0	0	0	0	0	527	160	0	0	0	87	0	0
Otu17958	77	6	244	0	19	186	92	36	20	4	2	11	3	1	11	8	8	15	15	4	21	0	3	0	15	1	34	0	6	4	9	21
Otu8820	0	2	0	0	0	0	0	0	0	0	0	0	5	1	512	3	0	0	35	0	0	15	20	35	0	0	0	56	66	0	123	0
Otu10058	3	55	0	0	0	196	0	0	0	6	61	32	31	196	32	10	0	83	27	64	0	4	0	25	0	1	15	16	0	0	5	2
Otu11954	0	86	0	28	0	0	0	0	17	19	123	27	20	187	77	9	0	69	41	63	5	3	5	23	0	0	12	20	2	2	10	0
Otu7787	0	187	158	0	21	0	22	0	39	0	11	53	21	2	0	12	46	0	65	34	25	0	3	12	56	0	0	0	10	60	0	0
Otu64342	0	18	189	0	0	0	0	0	0	7	0	83	0	0	109	8	73	0	0	37	42	0	0	0	0	2	3	60	30	31	108	32
Otu3354	0	3	0	0	0	0	0	0	7	8	6	52	95	15	12	78	20	5	15	7	23	1	234	4	48	6	14	64	2	16	58	36
Otu5085	191	0	0	11	0	0	0	0	51	82	38	151	98	40	31	5	0	3	0	43	0	0	9	16	1	2	2	8	19	1	9	6
Otu22301	0	4	0	0	0	0	0	0	0	9	8	0	459	61	2	24	0	0	10	7	0	172	3	7	1	3	0	19	0	6	0	1
Otu10056	0	11	67	0	0	651	0	0	28	0	0	0	0	0	0	0	2	6	0	0	1	0	0	0	19	0	0	1	0	0	0	0
Otu27058	0	33	0	0	0	0	0	0	0	1	22	45	46	5	123	197	2	4	11	32	6	7	40	18	6	8	35	67	7	5	35	28
Otu14368	381	50	0	314	0	0	0	0	3	1	2	1	0	0	0	4	0	0	0	0	9	0	0	1	0	0	0	1	0	3	0	0
Otu8816	0	1	0	0	47	3	1	0	0	15	44	0	0	22	0	23	70	0	79	0	0	4	113	19	0	0	0	150	1	32	118	0
Otu14389	114	0	0	0	0	0	0	0	0	11	51	1	16	0	0	119	0	1	3	22	31	0	5	0	5	1	2	90	54	17	182	17
Otu2972	0	0	0	0	0	0	0	0	0	24	501	0	3	6	0	0	0	117	0	0	0	0	0	66	0	0	24	0	0	0	0	0
Otu67538	268	0	0	0	0	0	69	0	0	0	0	213	6	15	48	4	0	8	61	0	0	0	0	4	0	0	0	0	0	0	38	0
Otu2625	0	11	0	0	0	0	0	0	43	3	29	0	80	3	62	12	61	0	8	1	84	1	8	7	78	18	94	26	31	51	7	11
Otu14366	38	86	3	0	0	0	0	0	3	100	82	2	34	0	13	7	42	0	0	23	56	81	7	6	12	7	10	68	4	22	0	21
Otu2819	0	4	0	91	0	48	0	0	16	2	33	8	9	17	7	10	10	74	14	31	0	0	16	8	23	25	35	93	21	13	103	10
Otu32055	0	0	0	0	1	0	0	0	0	13	23	4	1	0	0	2	7	88	4	46	0	9	2	54	4	3	8	243	27	66	86	12
Otu83081	0	0	615	0	17	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0
Otu67547	40	19	0	0	0	85	0	0	22	321	0	1	12	3	0	0	15	8	2	0	34	18	1	0	11	3	7	2	35	54	0	0
